type,nb_photo,prix,code postal,transport/0,transport/1,transport/2,nb_pieces,nb_chambres,surface,lat,lon,url
appartement,7,850000,75002,Bonne Nouvelle,Grands Boulevards,Sentier,3,2,59,48.870366,2.346400,/annonces/appartement-paris-2e-75002-r430401224
appartement,10,840000,75002,Sentier,Bonne Nouvelle,Réaumur - Sébastopol,3,2,68,48.867427,2.347258,/annonces/appartement-paris-2e-75002-r430401004
appartement,14,800000,75008,Saint-Philippe du Roule,George V,Franklin D. Roosevelt,3,2,62,48.872128,2.305361,/annonces/appartement-paris-8e-75008-r429600998
appartement,4,800000,75016,Porte de Saint-Cloud (Parc des Princes),Exelmans,Michel-Ange - Molitor,4,2,77,48.838857,2.257576,/annonces/appartement-paris-16e-75016-r430400830
appartement,11,795000,75116,,,,2,1,58,48.8531,2.24876,/annonces/appartement-paris-16e-75116-r429900086
appartement,9,795000,75010,Château d'Eau,Jacques Bonsergent,Strasbourg - Saint-Denis,2,1,60,48.871317,2.356862,/annonces/appartement-paris-10e-75010-r430401154
appartement,13,790000,75018,Blanche,Abbesses,Place de Clichy,2,1,44,48.885735,2.332774,/annonces/appartement-paris-18e-r428700711
appartement,6,790000,75008,Miromesnil,Saint-Augustin,Gare Saint-Lazare,3,2,72,48.875519,2.317105,/annonces/appartement-paris-8e-75008-r430401034
appartement,15,790000,75015,Falguière,Pasteur,Duroc,3,2,67,48.84367,2.315294,/annonces/appartement-paris-15e-r428800399
appartement,7,790000,75019,Crimée,Riquet,Rosa Parks,5,3,101,48.891995,2.372586,/annonces/appartement-paris-19e-r429200405
appartement,6,780000,75017,Brochant,Pont-Cardinet,Porte de Clichy,3,2,59,48.889728,2.318307,/annonces/appartement-paris-17e-75017-r430401149
appartement,6,750000,75015,Cambronne,Ségur,La Motte-Picquet - Grenelle,3,2,60,48.847124,2.303719,/annonces/appartement-paris-15e-75015-r430401315
appartement,8,705000,75020,Maraîchers,Porte de Montreuil,Buzenval,5,3,85,48.85351,2.405594,/annonces/appartement-paris-20e-75020-r429700209
appartement,9,705000,75014,Plaisance,Pernety,Didot,3,2,61,48.831352,2.315964,/annonces/appartement-paris-14e-r427800027
appartement,6,700000,75020,Adrienne Bolland,Saint-Fargeau,Séverine,5,3,92,48.871436,2.410167,/annonces/appartement-paris-20e-75020-r430401018
appartement,11,695000,75018,Château Rouge,Marcadet - Poissonniers,Marx Dormoy,4,3,79,48.888447,2.35395,/annonces/appartement-paris-18e-75018-r429500407
appartement,14,690000,75019,Place des Fêtes,Jourdain,Botzaris,2,1,50,48.877188,2.390606,/annonces/appartement-paris-19e-r428700517
appartement,12,675000,75018,Guy Môquet,Porte de Saint-Ouen,La Fourche,3,2,62,48.892584,2.329975,/annonces/appartement-paris-18e-75018-r430401244
appartement,12,670000,75013,Olympiades,Porte d'Ivry,Maryse Bastié,2,1,67,48.826003,2.369219,/annonces/appartement-paris-13e-r427401017
appartement,12,660000,75013,Tolbiac,Corvisart,Poterne des Peupliers,3,2,65,48.825902,2.351572,/annonces/appartement-paris-13e-75013-r430401147
